	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo
ACE3	0	0	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	1.51	0	0	1.54	0	0	0	0	0	0	0	0	0	0	0
S1pr4	8.58	10.04	14.08	12.22	10.22	6.05	11.63	6.14	4.83	3.88	3.21	0	4.72	3.31	0	0	0.73	0	4.54	0	3.62	0.77	0	0	3.12	6.07	13.18	0	0	0	0	4.76	0.95
Ugt1a1	41.21	18.3	42.14	34.92	16.5	66.86	46.77	77.86	98.3	87.02	128.02	172.5	164.78	181.32	88.26	60.99	59.96	80.59	65.76	138.09	111.62	120.06	93.69	37.58	131.48	120.93	139.39	122.57	115.11	95.4	87.83	67.49	58.16
Tigd3	3.39	9.97	8.34	8.94	4.38	19.32	11.51	9.17	2.95	10.77	9.24	7.67	9.96	0	6.31	2.94	4.36	9.43	4.66	12.39	7.17	6.49	8.11	2.05	3.41	6.08	4.92	8.46	8.23	0	8.55	9.27	8.81
Tex13a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde8b	8.37	2.76	5.12	7.39	9.26	6.99	3.8	6.19	3.87	2.91	4.81	15.15	5.14	1.66	0	0	2.14	5.3	0	0	1.81	5.39	1.18	0	3.1	8.23	0	0	5.75	10.79	2.95	3.81	0.95
Olfr102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsdhl	27.08	33.13	11.26	12.94	24.41	29.96	22.77	35.38	28.03	33.93	43.31	22.72	50.63	18.23	11.4	28.47	35.59	26.48	37.86	35.97	33.4	47.7	34.16	24.59	51.88	35.28	20.59	37.04	33.34	18.64	33.92	39.06	21.75
Sh2d1a	1.05	4.6	0	1.85	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0
Kcnrg	0	0	0	0	0	0	0.95	0	0	2.91	0	0	0	0	0	0	0.71	3.53	0.76	5.87	4.51	1.54	0	3.93	5.42	1.18	1.87	3.7	0	0	0	0	2.84
Pcdh1	43.93	32.21	56.3	42.51	37.87	70.91	42.69	69.88	76.36	67.86	57.75	35.98	44.03	43.09	47.69	44.74	49.12	63.56	45.44	143.88	89.36	46.93	110.71	94.41	132.4	136.42	68.33	24.08	117.27	99.08	75.21	64.79	90.77
Bad	38.7	42.34	48.11	33.27	37.87	41.95	39.85	14.15	59.93	55.26	41.71	38.7	43.12	43.09	27.99	44.74	56.23	66.21	71.18	53.6	56.87	79.24	65.95	60.97	67.36	54.1	59.69	49.08	82.77	62.78	47.19	66.69	54.84
Sertad2	200.84	201.56	180.15	181.12	196.1	156.1	262.81	260.96	241.63	220.07	229.4	229.12	277.36	226.46	152.41	241.37	283.31	312.51	285.49	278.99	301.49	322.34	362.75	296.01	302.75	336.35	295.91	213	331.44	286.45	294.95	355.38	333.78
Rnaseh2a	41.04	38.13	48.54	41.8	29.79	42.56	38.85	42.2	39.03	67.35	43.3	48.32	48.93	56.5	35.89	47.2	50.71	58.64	63.66	50.89	50.31	61.64	75	87.11	66.81	59.07	75.26	49.18	75.66	67.47	107.99	48.35	59.23
2310003H01Rik	36.61	39.58	39.92	37.89	30.3	24.97	29.41	29.19	27.06	15.51	41.71	41.66	27.15	53.04	33.18	20.34	29.9	35.31	23.48	27.9	34.3	29.23	25.91	25.57	34.07	15.29	34.63	48.16	41.39	33.35	30.97	34.3	38.77
Gm20767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip1	170.31	153.7	189.37	186.66	217.15	222.72	189.75	169.88	194.27	207.46	200.53	259.98	152.62	159.11	159.67	174.1	163.72	167.73	188.55	233.45	230.18	163.11	142.51	190.26	214.48	236.38	175.11	149.1	215	181.49	209.41	191.51	168.33
Ythdf1	221.85	283.47	288.65	266.13	276.05	303.62	296.01	293.69	232.94	290.84	343.22	312.43	260.49	275.13	189.73	283.11	335.27	311.59	294.58	257.7	280.73	265.41	214.35	280.28	252.42	267.63	240.57	250.97	273.63	258.99	324.47	315.36	310.14
Pfn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc17	152.72	206.16	176.06	236.56	219.39	216.05	230.55	204.34	202.97	181.29	213.36	215.86	200.32	134.25	115.08	195.91	146.64	175.68	145.39	91.04	125.47	130.77	108.35	106.21	130.86	87.03	131.06	136.13	106.92	100.06	147.47	87.65	91.72
Tmod1	623.33	625.73	936.67	904.04	841.68	861.24	662.39	617.34	673.69	615.81	1325.74	1415.41	428.68	611.51	247.02	477.74	135.36	136	115.85	32.7	60.04	57.74	73.61	48.42	65.71	70.55	80.17	125.36	47.92	68.89	88.84	19.87	23.1
Golim4	639.14	382.87	544.55	509.16	480.58	544.33	670.61	692.64	826.39	647.7	542.22	604.04	1041.05	954.65	1508.68	896.51	774.3	877.51	1065.64	843.58	835.02	949.32	846.93	858.53	872.75	735.02	699.24	864.04	663.38	763.15	830.29	711.52	655.31
Sfn	71.13	46.02	130	74.88	54.71	192.85	58.82	200.81	421.41	159.96	182.88	102.25	292.36	394.46	726.79	315.65	851.1	814.24	514.19	901.58	956.81	595.47	922.19	972.93	764.3	952.96	897.79	515.84	1082.3	1309.4	569.25	1048.07	1330.31
Hdlbp	1086.85	1051.05	1035.92	1117.19	1098.35	1074.67	1006.63	965.99	1022.59	1063.5	1482.28	1141.81	903.26	832.01	1000.51	925.8	721.79	658.61	810.74	829.58	738.39	788.54	932.79	561.76	772.75	892.61	727.33	739.94	755.36	735.76	625.29	786.98	755.5
Ubd	11.51	26.69	6.14	32.34	31.98	8.99	10.44	9.73	2.9	21.33	6.42	13.25	0.73	9.94	5.18	0.81	11.39	0	0	0	0	0	0	0	0	0	1.87	0	0	0	0	0	0
Olfr592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal6	556.43	396.68	414.56	517.3	467.11	486.32	309.74	297.23	287.06	351.42	628.75	715.76	203.99	326.5	120.27	121.22	41.61	72.46	56.79	43.32	32.5	35.4	31.8	31.47	31.75	30.58	30.89	73.16	48.29	48.07	36.87	26.68	39.71
Trappc11	137.03	115.97	101.34	138.61	119.51	154.81	117.65	75.19	80.22	127.97	153.83	102.25	104.93	86.18	92.27	132.55	132.4	93.58	123.43	119.67	108.32	143.09	130.73	69.82	137.82	96.43	109.52	114.83	109.22	83.39	178.44	94.32	106.85
Pgm2	1725.98	1900.55	2552.28	3167.34	3119.81	2820.34	1370.96	1060.56	1158.88	1558.89	2991.79	2622.56	769.72	1043.24	375.32	491.37	159.45	168.61	201.86	102.79	128.18	87.7	128.38	123.91	133.18	129.36	102.97	125.95	124.17	111.83	109.13	69.55	97.39
Thnsl1	16.74	12.89	7.05	26.8	10.94	14.98	25.62	27.42	22.23	13.57	20.85	17.04	22.75	21.55	15.55	21.97	16.37	22.95	14.39	24.23	18.96	9.23	24.73	4.92	6.97	22.34	18.72	23.15	9.2	25.51	42.77	4.76	17.02
Espnl	0	0	0	0.92	1.68	0	0	0	0	0	0	0	0.73	0	4.15	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95	0	0
Gpbp1l1	399.39	478.59	345.98	343.73	338.34	335.59	356.75	473.05	438.79	386.82	429.93	622.98	407.99	677.79	444.79	428.73	573.98	491.72	452.84	477.95	488.16	465.72	641.87	666.76	500.97	531.57	557.9	421.34	587.9	511.11	522.05	653.66	563.55
Taf9b	36.61	53.38	34.8	48.98	39.56	41.95	43.64	48.65	31.9	55.26	70.58	41.66	29.35	54.69	24.88	47.18	20.64	29.13	21.2	46.25	27.98	38.47	27.09	19.67	32.52	24.7	44.93	31.51	4.6	42.18	41.29	25.72	23.64
Kcnh4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo15	0	0	1.02	0.92	0.84	2	0	2.65	0	0	0	0	0	0	0	0.81	0	0	0	1.47	1.81	1.54	0	0	0	0	5.62	0	0	0	5.9	1.91	0
Ttbk2	80.56	72.72	49.07	68.23	82.14	86.82	81.59	74.01	61.88	63.01	101.66	90.81	68.64	95.2	70.51	107.13	98.6	106.75	103.75	110.9	86.87	87.22	74.13	82.18	73.57	63.55	77.6	94.16	73.64	65.77	90.3	72.41	61.05
Mon2	183.06	215.37	254.88	238.41	230.61	234.71	206.83	230	306.39	239.46	261.48	274.56	288.37	190.6	247.79	266.97	244.15	284.37	256.71	263.57	299.69	233.87	256.75	220.29	299.65	298.71	248.06	227.82	241.44	228.57	235.96	218.18	269.49
Wdr48	131.8	118.73	99.29	92.41	92.58	115.86	80.64	96.42	86.02	132.82	72.19	90.89	91.72	132.86	133.75	100.88	145.94	126.24	97.69	137.09	120.96	143.86	140.15	122.93	102.21	131.72	165.68	90.76	119.57	76.52	82.58	83.84	130.49
Nav1	222.32	152.39	161.62	205.36	201.77	177.57	223.04	185.73	150.36	198.39	122.67	160.65	235.68	90.1	129.61	393.14	215.65	241.45	306.34	186.67	216.61	379.11	269.81	137.17	239.17	227.16	287.86	259.02	223.18	238.38	226.93	226.5	208.11
Mmp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a14	25.95	36.12	49.98	32.47	36.48	26.49	18.19	45.7	33.25	19.89	66.85	47.77	21.6	55.65	87.66	24.52	18.42	25.51	30.03	18.85	41.6	45.98	28.42	38.77	26.06	34.01	24.56	27.79	26.77	38.76	50.1	39.61	43.47
Qk	1168.38	1330.44	1314.59	1543.44	1346.24	1310.18	1465.17	1234.82	1312.56	1353.22	1783.81	1829.58	1083.86	1263.13	699.84	1366.73	980.34	959.6	933.89	699.76	703.21	756.99	734.9	768.29	842.43	805.58	926.71	878.9	798.01	700.44	946.13	733.63	686.65
Mettl7a2	0	0	1.54	0	0	0	0	0	0	0	0	0	3.61	0	0	0	0	0	0	0	0	3.18	0	0	0	0	3.73	2.8	0	0	0	0	0
Cdc20b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagap	3.99	30.68	29.58	36.53	15.6	10.03	13.06	9.04	0	1.41	3.4	0	8.49	6.86	0	22.98	9.01	5.46	12.29	0	4.28	6.31	25.23	7.9	9.68	15.66	14.77	11.17	26.87	6.44	7.8	13.99	11.94
Tubb4b	538.72	540.99	682.18	609.88	542.15	704.13	641.36	656.38	672.11	512.85	564.68	587	570.13	578.43	713.31	454.76	611.22	640.91	634.59	747.65	844.9	594.64	803.24	850.66	795.98	657.4	887.39	605.66	820.89	1059.49	699.02	894.74	983.38
Olfr299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi30	72.18	79.15	84.96	86.86	79.11	68.28	102.47	86.69	52.19	63.01	67.38	87.1	90.25	77.9	122.34	75.66	61.22	83.87	69.67	85.17	76.73	75.39	95.4	89.49	89.82	91.73	67.4	49.08	86.23	86.33	81.11	54.31	73.75
Apoc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0
Olfr355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp658	9.42	7.4	8.19	8.32	16.19	5	14.23	13.27	6.23	11.69	8.02	0.25	15.48	4.99	17.63	8.97	7.12	6.18	10.6	8.81	17.26	23.85	27.09	6.64	16.59	5.88	28.91	12.97	12.65	3	16.22	10.85	0.95
Rbmx	77.39	79.45	95.19	98.62	88.72	77.9	80.33	70.03	84.56	82.1	48.13	71.95	63.14	89.5	121.83	75.07	71.93	80.35	109.02	80.76	77.07	116.72	67.06	115.05	69.68	65.09	84.26	120.14	108.08	65.82	51.65	100.85	93.61
Tcirg1	31.32	50.62	64.49	48.05	49.66	57.93	57.87	58.38	55.09	45.56	51.33	15.15	37.49	24.86	24.88	43.12	42.71	37.96	61.34	46.99	42.43	54.62	23.56	29.5	44.13	30.58	59.91	37.95	35.64	73.58	64.9	48.59	34.04
Olfr564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shcbp1l	0	4.6	0	1.85	0.84	2	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crcp	25.11	26.69	30.71	36.04	15.99	21.97	26.57	26.54	50.26	24.24	49.73	49.23	32.29	4.97	37.32	18.71	29.9	32.66	21.96	34.51	16.25	26.16	42.4	18.69	33.29	14.11	17.79	34.27	6.9	13.73	19.17	38.11	44.44
Vmn2r77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddhd2	155.25	174.96	102.94	88.33	130.47	111.27	88.16	74.86	77.69	88.66	66.57	92.31	100.57	97.12	86.16	80.94	96.2	81.2	79	51.47	71.28	86.92	61.03	112.12	71	82.73	75.31	93.25	74.87	79.72	61.81	136.35	61.65
Pex7	114.02	104	131.02	83.17	108.57	100.88	91.08	74.31	86.02	88.22	117.11	96.57	71.18	81.21	79.83	61.01	61.22	58.26	70.43	84.43	69.51	71.55	48.29	64.91	85.95	63.51	102.97	82.42	94.28	85.35	51.62	77.17	104.01
Pgls	18.83	45.1	23.54	31.42	31.98	40.95	32.26	35.38	35.76	36.84	41.71	45.45	35.95	48.06	52.88	42.3	54.81	58.26	52.25	61.67	58.91	51.54	60.07	93.43	54.97	99.96	59.91	57.42	73.58	90.25	73.74	86.7	76.59
Klhl18	86.82	56.14	62.44	61.91	48.82	62.92	53.13	42.46	50.26	42.66	64.17	64.38	59.43	56.35	62.21	37.42	71.89	54.73	51.49	71.22	77.63	55.39	43.58	82.61	65.82	82.32	44.93	44.45	41.39	81.42	54.57	62.88	63.35
Tada2a	54.39	46.94	44.01	46.2	38.72	56.93	43.64	39.81	56.06	65.92	77	66.27	41.09	59.67	55.99	59.39	73.32	42.37	46.19	44.79	55.97	66.93	49.47	81.62	54.2	41.16	72.08	57.42	59.78	51.99	64.89	53.35	52.95
Col13a1	64.86	66.27	68.35	37.54	59.34	42.95	60.72	37.15	26.08	57.2	41.71	58.7	74.18	23.2	67.39	39.16	52.67	15.01	33.32	24.31	27.08	45.39	15.31	19.67	41.81	10.58	14.04	29.63	30.54	16.68	35.39	19.06	11.35
Gfer	40.8	38.66	56.3	57.29	61.44	36.95	36.05	39.81	32.86	44.6	73.79	56.81	30.82	34.81	31.1	21.97	20.64	33.55	20.09	9.54	20.76	16.16	32.98	17.7	32.52	14.11	18.72	22.23	19.55	23.54	16.22	12.39	17.02
Prss56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gja8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxp2	4.07	14.16	13.31	14.78	12.67	9.03	5.92	4.42	12.56	5.82	12.83	15.15	7.34	13.26	19.7	17.9	34.88	28.25	38.62	59.47	33.4	44.62	49.47	38.35	40.26	43.51	57.1	50.93	51.74	48.07	22.12	66.69	50.11
Nr2f1	7.47	17.49	8.19	12.01	12.62	6.99	7.59	4.42	6.77	5.82	4.81	5.68	13.21	16.57	5.18	4.88	4.98	2.65	5.3	3.67	0	10	6.14	3.93	8.52	2.35	0	4.63	5.9	0.98	5.9	1.97	3.78
Slc22a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	697.64	656.78	717.54	759.59	728.86	862.75	786.2	827.99	850.41	934.72	790.87	1001.68	1264.91	1059.07	829.42	923.35	972.09	1283.29	935.18	801.88	958.99	888.78	942.06	1011.45	950.06	1101.94	1193.49	938.96	1001.4	1222.98	1144.39	972.45	1462.68
Kras	188.31	238.37	202.67	235.64	247.44	257.58	260.91	277.77	243.57	226.85	255.07	282.14	287.86	349.63	292.29	306.11	446.31	406.09	379.63	416.28	318.54	441.58	412.22	270.44	382.5	346.93	325.66	326.91	331.2	347.28	420.3	439.22	385.79
Uqcrc2	782.45	818.2	833.21	766.97	700.25	695.14	639.18	448.01	521.93	718.37	1100.48	869.14	338.26	409.37	291.34	401.07	209.28	228.65	270.34	221.78	207.61	204.63	263.82	201.6	224.07	190.52	208.74	250.04	203.5	258.81	244.81	218.18	195.73
Rev3l	106.7	116.89	93.15	104.42	115.31	118.85	119.54	100.84	98.59	127	160.42	134.44	121.8	134.25	128.56	146.44	172.26	135.95	137.82	115.27	143.52	135.4	146.04	144.56	112.27	112.9	140.41	155.58	137.97	122.63	151.9	180.07	156.02
Slc35f1	11.51	3.68	12.3	9.24	4.17	7.99	0.96	9.75	12.57	3.88	12.85	24.64	5.14	8.29	3.11	4.88	18.51	1.77	10.62	1.47	1.81	15.39	0	1.99	10.84	3.56	6.58	8.33	11.5	0	11.8	11.43	3.78
Nbeal1	53.35	46.02	59.37	71.15	66.49	63.92	43.64	28.31	33.83	70.77	52.94	43.55	55.03	61.32	38.36	82.98	96.81	90.93	63.61	64.61	55.06	38.46	36.51	28.52	56.52	50.57	45.87	44.45	43.69	38.26	41.29	48.59	52.95
Slc39a8	93.1	61.58	96.46	59.14	62.19	158.71	63.8	154.86	281.55	99.59	49.51	66.27	131.45	159.11	181.82	118.06	180.09	157.27	105.33	108.76	86.11	107.55	39.44	130.76	48.46	37.74	32.4	98.63	45.99	25.64	70.06	78.11	110.59
Cbwd1	68.9	46.94	76.77	73.91	69.02	56.93	44.59	62.81	66.69	66.89	56.26	79.51	46.23	69.61	52.88	43.93	27.05	39.73	46.95	46.99	59.58	70.78	40.04	53.11	45.68	74.09	54.36	64.83	49.44	58.86	47.19	44.78	58.62
Usp25	338.92	340.95	418.65	416.75	379.58	412.49	444.97	440.53	430.11	399.42	786.06	628.66	352.2	434.23	353.55	291.24	272.63	311.63	258.23	356.08	281.63	250.02	365.11	256.67	342.24	275.57	307.03	292.64	340.31	213.86	317.07	345.85	240.29
2310009B15Rik	2.09	3.68	3.07	2.77	6.73	5.99	7.59	6.19	2.9	4.85	4.81	1.89	3.67	1.66	5.18	4.07	1.42	0.88	6.06	3.67	7.22	3.08	7.07	10.82	4.65	1.18	0	5.56	0	0	5.9	0	6.62
Olfr987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad9	7.41	10.17	9.27	6.02	4.53	9.31	7.51	7.96	3.07	13.01	10.32	3.79	7.52	4.99	8.96	8.71	7.47	3.67	14.57	12.66	9.33	4.86	0	3.1	6.02	8.24	4.69	6.04	8.82	1.98	11.3	9.26	4.91
Trim68	41.84	44.18	28.66	43.43	45.45	27.97	41.75	46	58.96	44.6	44.92	35.98	57.23	54.69	79.83	40.68	42	38.84	53.01	37.44	46.04	51.74	34.16	47.2	45.68	17.64	57.1	43.53	55.19	44.15	38.34	51.45	52.01
Prss44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp2h	121.1	113.78	112.91	140.34	89.15	92.78	111.9	107.9	64.99	90.4	109.05	61.52	94.71	53.85	48.14	102.17	97.33	121.39	104.49	85.42	57.92	98.01	95.01	111.81	71.92	89.19	129.24	66.98	89.03	97.55	135.98	134.65	83.45
Stx5a	77.41	61.66	65.51	78.55	61.44	59.93	76.85	92	61.86	64.95	54.54	77.64	88.78	74.58	49.77	90.3	77.59	75.92	88.6	114.53	90.27	101.41	62.42	70.81	85.17	77.62	102.97	66.68	91.98	85.35	36.87	136.25	90.77
Zfp568	18.95	30.07	10.54	36.58	30.62	30.34	24.15	30.61	18.56	16.13	29.89	14.49	24.21	19.04	29.4	34.7	19.13	9.59	13.92	25.93	22.33	15.22	9.61	4.41	27.15	16.56	14.36	13.2	15.84	6.11	13.58	15.5	24.03
Vipr2	10.47	3.68	11.26	6.48	0.84	5.14	19	11.51	3.9	10.57	10.3	7.59	19.55	9.94	23.08	10.23	5.7	4.41	22.36	15.01	10.1	18.75	19.85	2.96	6.2	14.15	8.42	12.1	3.24	6.91	9.01	12.68	3.39
Phf12	123.43	147.23	127.5	124.75	153.18	123.85	137.57	145.08	141.11	120.21	94.65	147.7	143.08	139.22	105.75	145.62	134.53	136.61	131.76	125.55	130.89	130.01	187.26	146.53	155.63	125.84	102.97	140.77	117.27	121.64	129.78	143.87	117.25
Rabgap1l	118.2	147.12	132.04	124.75	123.72	93.88	136.62	168.96	89.25	101.79	125.13	83.32	131.34	175.68	125.45	238.35	190.77	185.39	219.61	190.15	185.95	278.49	177.84	201.81	231.51	258.73	297.67	242.54	212.7	189.17	228.55	143.87	175.96
Toe1	17.79	19.33	23.54	21.25	23.57	18.98	37.95	38.92	19.33	17.45	19.25	11.36	23.48	19.89	37.32	30.91	22.07	30.02	45.44	23.49	35.2	30	45.93	19.67	30.2	44.69	51.48	26.86	40.24	37.28	17.7	59.07	46.33
Muc5ac	1.05	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	2.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint2	9.41	6.44	14.33	11.09	2.61	7.99	9.78	19.46	6.77	11.63	3.21	3.79	8.07	13.26	6.22	0.81	0	15.89	0	11.92	6.32	4.62	7.07	0.98	3.1	8.23	4.68	6.48	1.15	0	5.9	5.72	9.46
Pigc	94.14	101.24	115.67	93.33	105.21	110.86	98.67	108.81	95.69	115.37	86.63	53.02	93.19	81.21	87.09	93.56	96.81	95.34	88.6	106.46	109.22	93.86	114.24	93.43	70.46	128.19	84.25	99.09	104.62	82.4	95.86	97.18	144.67
Tas2r143	0	0	0	0	0	0	0.95	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shmt1	40.8	37.73	31.73	27.11	24.41	36.95	13.7	29.2	39.63	36.84	11.23	13.25	35.33	54.68	46.66	37.42	32.47	53.89	48.64	52.23	67.71	62.31	44.76	58.02	46.49	38.81	34.63	62.99	35.64	56.9	80.54	59.72	61.53
Zmynd19	57.04	60.27	34.2	51.25	55.41	82.82	56.15	71.1	46.77	50.58	42.29	54.36	67.02	62.85	54.22	30.24	55.61	44.22	73.99	62.83	81.13	58.67	54.91	71.93	64.8	46.07	95.75	46.12	91.26	55.89	65.74	91.93	80.23
Rhog	46.03	44.18	45.04	45.28	45.45	44.94	50.28	59.27	37.69	42.66	9.63	5.68	35.95	36.46	51.84	20.34	50.54	45.91	45.44	35.97	23.47	24.62	36.51	41.3	27.1	45.87	34.63	36.12	49.44	32.37	45.72	86.7	26.48
Xylt2	30.34	23.93	20.47	32.34	30.3	25.97	36.05	33.61	40.59	31.99	1.6	35.98	33.75	26.52	36.29	23.59	22.78	31.78	29.53	35.97	10.83	37.7	43.58	49.17	27.1	28.22	58.97	33.34	43.69	49.05	32.44	39.06	56.73
Adora3	0.76	6.44	9.5	3.74	11.46	1.06	4.56	13.84	9.12	7.81	3.38	14.3	10.27	0	3.96	10.8	2.14	5.66	12.71	0	3.06	0	0	17.7	3.39	0	5.62	0.7	9.29	0	2.96	10.24	7.6
Exoc4	105.65	153.7	181.18	199.6	158.23	162.8	161.57	153.92	150.78	133.78	200.53	189.35	159.96	172.37	101.61	187.92	111.81	154.49	131.01	151.24	100.2	99.24	134.92	104.24	130.08	116.43	132.92	125.95	105.77	111.83	84.06	104.8	102.12
Dhrs7c	293.94	341.45	472.97	529.49	585.79	462.43	218.25	222.04	293.83	312.17	715.47	549.13	139.42	255.24	81.91	56.13	8.54	15.89	28.02	2.2	2.71	0	4.71	0	6.19	4.7	1.87	4.63	1.15	10.79	26.55	0	0
Vmn1r78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chsy1	75.32	111.36	67.56	64.68	95.95	67.92	118.6	87.58	68.62	85.31	33.69	57.03	79.26	39.79	57.02	72.4	65.49	89.16	86.33	84.43	53.26	76.16	49.47	94.41	65.82	57.63	58.97	41.67	97.73	74.56	58.99	87.65	97.39
Clasp1	148.81	156.97	184.28	188.96	176.19	210.54	225.36	218.22	229.2	184.21	250.69	232.85	190.9	226.3	199.77	262	223.04	197.06	225.26	242.16	236.46	204.14	247.2	237.06	257.11	222.64	243.74	172.13	250.42	186.8	190.99	218.9	228.05
Agpat2	202.03	247.47	61.42	38.81	135.51	63.92	17.08	13.27	10.63	48.47	8.02	11.36	25.68	23.2	4.15	23.59	25.63	31.78	19.69	34.51	15.35	15.39	30.62	14.75	24	14.11	21.53	14.82	31.04	18.64	25.07	26.68	17.97
Ly6a	147.8	158.94	131.71	131.81	166.55	140.17	177.87	158.22	149.04	171.54	185.75	207.8	222.32	109.01	68.88	240.36	138.65	160.6	245.68	126.64	149	232.5	284.67	263.47	191.85	225.18	283.14	250.14	188.53	211.38	255.97	176.59	251.32
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prcc	110.88	105.84	132.04	117.36	109.41	130.84	119.54	132.69	103.42	92.99	171.65	128.76	94.66	87.84	57.02	83.79	106.77	88.28	78	95.44	86.66	72.31	73.02	87.52	71.24	74.09	96.42	67.6	71.28	33.35	79.64	76.22	111.58
Olfr904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr55	0	0	1.02	6.47	4.21	3	2.77	1.77	0.97	4.85	1.6	0	0	1.66	0	1.63	2.85	0	0	0	0	0	0	0	0	0	0	2.78	0	0	0	0	0
Atl2	669.69	587.24	845.18	888.76	822.95	876.11	646.27	506.78	576.64	742.16	1047.11	1085.32	477.3	530.84	305.11	510.87	360.96	307.31	327.67	294.91	330.17	294.29	236.81	348.98	324.2	287.02	293.16	313.25	303.66	315.46	270.48	309.45	278.59
